nombre,corto,clave,region
Aguascalientes,Ags,AS,Centro Norte
Baja California,BC,BC,Noroeste
Baja California Sur,BCS,BS,Noroeste
Campeche,Camp,CC,Península
Chiapas,Chis,CS,Sur
Chihuahua,Chih,CH,Norte
Coahuila,Coah,CL,Norte
Colima,Col,CM,Pacífico
Ciudad de México,CDMX,DF,Centro
Durango,Dgo,DG,Norte
Guanajuato,Gto,GT,Centro
Guerrero,Gro,GR,Pacífico
Hidalgo,Hgo,HG,Centro
Jalisco,Jal,JC,Pacífico
México,Edomex,MC,Centro
Michoacán,Mich,MN,Pacífico
Morelos,Mor,MS,Centro
Nayarit,Nay,NT,Pacífico
Nuevo León,NL,NL,Noreste
Oaxaca,Oax,OC,Sur
Puebla,Pue,PL,Centro
Querétaro,Qro,QT,Centro
Quintana Roo,QR,QR,Península
San Luis Potosí,SLP,SP,Centro Norte
Sinaloa,Sin,SL,Noroeste
Sonora,Son,SR,Noroeste
Tabasco,Tab,TC,Sur
Tamaulipas,Tamps,TS,Noreste
Tlaxcala,Tlax,TL,Centro
Veracruz,Ver,VZ,Este
Yucatán,Yuc,YN,Península
Zacatecas,Zac,ZS,Centro Norte